dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,37.348476,191.215686,0.000230,0.018393,0.735709,29.428370,0.026317
0.025000,37.348620,191.215690,0.000374,0.005767,-0.505021,-49.629226,0.026327
0.025000,37.348945,191.215698,0.000698,0.012976,0.288355,31.735056,0.026349
0.025000,37.349521,191.215714,0.001275,0.023068,0.403684,4.613143,0.026387
0.025000,37.350422,191.215737,0.002176,0.036043,0.518992,4.612319,0.026447
0.025000,37.351719,191.215772,0.003474,0.051900,0.634266,4.610969,0.026534
0.025000,37.353484,191.215819,0.005240,0.070637,0.749490,4.608960,0.026651
0.025000,37.355790,191.215880,0.007546,0.092253,0.864644,4.606157,0.026805
0.025000,37.358707,191.215959,0.010465,0.116746,0.979704,4.602425,0.027000
0.025000,37.362309,191.216057,0.014067,0.144112,1.094645,4.597625,0.027240
0.025000,37.366666,191.216176,0.018426,0.174348,1.209435,4.591614,0.027530
0.025000,37.371850,191.216320,0.023612,0.207449,1.324042,4.584247,0.027876
0.025000,37.389450,191.216816,0.041220,0.704294,19.873803,741.990445,0.028282
0.025000,37.441556,191.218302,0.093346,2.085071,55.231088,1414.291429,0.028752
0.025000,37.501360,191.220038,0.153176,2.393183,12.324485,-1716.264138,0.029292
0.025000,37.569391,191.222052,0.221236,2.722400,13.168672,33.767479,0.029906
0.025000,37.646206,191.224377,0.298087,3.074042,14.065706,35.881360,0.030600
0.025000,37.732309,191.227046,0.384231,3.445766,14.868927,32.128829,0.031377
0.025000,37.828239,191.230098,0.480210,3.839137,15.734837,34.636407,0.032242
0.025000,37.934528,191.233578,0.586555,4.253824,16.587500,34.106543,0.033201
0.025000,38.051701,191.237531,0.703795,4.689595,17.430848,33.733885,0.034258
0.025000,38.180278,191.242012,0.832451,5.146224,18.265168,33.372825,0.035417
0.025000,38.320814,191.247081,0.973078,5.625083,19.154350,35.567278,0.036683
0.025000,38.473809,191.252801,1.126179,6.124066,19.959295,32.197814,0.038061
0.025000,38.639794,191.259246,1.292289,6.644397,20.813239,34.157736,0.039556
0.025000,38.819298,191.266496,1.471940,7.186010,21.664545,34.052229,0.041172
0.025000,39.012847,191.274638,1.665660,7.748832,22.512888,33.933724,0.042913
0.025000,39.220967,191.283769,1.873980,8.332781,23.357938,33.802026,0.044784
0.025000,39.444177,191.293997,2.097424,8.937765,24.199363,33.656984,0.046790
0.025000,39.682995,191.305436,2.336516,9.563685,25.036825,33.498497,0.048935
0.025000,39.937936,191.318214,2.591777,10.210435,25.869988,33.326515,0.051223
0.025000,40.209509,191.332468,2.863725,10.877898,26.698514,33.141041,0.053658
0.025000,40.498254,191.348351,3.152906,11.567264,27.574645,35.045220,0.056245
0.025000,40.804654,191.366025,3.459815,12.276342,28.363103,31.538342,0.058987
0.025000,41.129239,191.385666,3.784994,13.007179,29.233502,34.815955,0.061890
0.025000,41.472495,191.407466,4.128941,13.757863,30.027366,31.754564,0.064956
0.025000,41.834930,191.431630,4.492181,14.529617,30.870147,33.711240,0.068189
0.025000,42.217054,191.458381,4.875240,15.322341,31.708971,33.552938,0.071594
0.025000,42.619344,191.487955,5.278616,16.135050,32.508345,31.974955,0.075173
0.025000,43.042290,191.520608,5.702820,16.968165,33.324586,32.649644,0.078929
0.025000,43.486385,191.556614,6.148373,17.822106,34.157668,33.323275,0.082867
0.025000,43.952095,191.596262,6.615767,18.695760,34.946142,31.538971,0.086990
0.025000,44.439877,191.639861,7.105494,19.589081,35.732852,31.468395,0.091298
0.025000,44.950222,191.687742,7.618080,20.503455,36.574954,33.684079,0.095797
0.025000,45.483555,191.740254,8.153992,21.436473,37.320720,29.830648,0.100487
0.025000,46.040329,191.797766,8.713728,22.389452,38.119169,31.937948,0.105370
0.025000,46.620987,191.860670,9.297784,23.362225,38.910920,31.670046,0.110449
0.025000,47.225942,191.929377,9.906628,24.353776,39.662027,30.044310,0.115725
0.025000,47.855616,192.004321,10.540746,25.364720,40.437758,31.029220,0.121199
0.025000,48.510400,192.085958,11.200599,26.394114,41.175761,29.520107,0.126871
0.025000,49.190670,192.174762,11.886642,27.441708,41.903775,29.120592,0.132741
0.025000,49.896822,192.271235,12.599353,28.508434,42.669034,30.610328,0.138810
0.025000,50.629190,192.375896,13.339161,29.592337,43.356108,27.482955,0.145076
0.025000,51.388119,192.489286,14.106515,30.694147,44.072422,28.652595,0.151539
0.025000,52.173935,192.611968,14.901849,31.813371,44.768954,27.861260,0.158196
0.025000,52.986937,192.744526,15.725587,32.949520,45.445940,27.079449,0.165046
0.025000,53.827405,192.887561,16.578140,34.102112,46.103686,26.309823,0.172085
0.025000,54.695609,193.041695,17.459919,35.271164,46.762078,26.335712,0.179309
0.025000,55.591523,193.207518,18.371050,36.445237,46.962928,8.033982,0.186713
0.025000,56.514867,193.385579,19.311406,37.614241,46.760171,-8.110291,0.194286
0.025000,57.465322,193.576426,20.280833,38.777076,46.513405,-9.870646,0.202020
0.025000,58.442565,193.780603,21.279177,39.933773,46.267843,-9.822448,0.209904
0.025000,59.446257,193.998652,22.306281,41.084172,46.015991,-10.074094,0.217927
0.025000,60.476035,194.231105,23.361970,42.227530,45.734292,-11.267981,0.226077
0.025000,61.531528,194.478486,24.446065,43.363809,45.451189,-11.324119,0.234344
0.025000,62.612346,194.741307,25.558379,44.492558,45.149958,-12.049233,0.242714
0.025000,63.718090,195.020065,26.698719,45.613600,44.841661,-12.331850,0.251174
0.025000,64.848345,195.315242,27.866883,46.726558,44.518327,-12.933378,0.259711
0.025000,66.002687,195.627300,29.062661,47.831112,44.182146,-13.447246,0.268312
0.025000,67.180679,195.956680,30.285835,48.926991,43.835182,-13.878549,0.276960
0.025000,68.381881,196.303802,31.536187,50.014061,43.482806,-14.095057,0.285643
0.025000,69.605841,196.669058,32.813486,51.091945,43.115344,-14.698477,0.294344
0.025000,70.852108,197.052814,34.117499,52.160523,42.743133,-14.888447,0.303048
0.025000,72.120225,197.455408,35.447988,53.219567,42.361769,-15.254539,0.311739
0.025000,73.409493,197.877066,36.804457,54.258747,41.567199,-31.782797,0.320400
0.025000,74.718982,198.317891,38.186154,55.267913,40.366615,-48.023350,0.329010
0.025000,76.047775,198.777941,39.592333,56.247131,39.168735,-47.915224,0.337552
0.025000,77.394974,199.257221,41.022247,57.196558,37.977054,-47.667219,0.346004
0.025000,78.759697,199.755690,42.475154,58.116283,36.789025,-47.521174,0.354350
0.025000,80.141086,200.273256,43.950319,59.006606,35.612923,-47.044088,0.362570
0.025000,81.538309,200.809779,45.447011,59.867686,34.443182,-46.789644,0.370647
0.025000,82.950556,201.365070,46.964506,60.699788,33.284091,-46.363639,0.378563
0.025000,84.377045,201.938892,48.502083,61.503080,32.131673,-46.096724,0.386299
0.025000,85.817026,202.530963,50.059032,62.277989,30.996386,-45.411450,0.393841
0.025000,87.269777,203.140953,51.634651,63.024752,29.870485,-45.036040,0.401171
0.025000,88.734609,203.768490,53.228243,63.743690,28.757527,-44.518339,0.408274
0.025000,90.210862,204.413156,54.839117,64.434960,27.650804,-44.268908,0.415134
0.025000,91.697912,205.074493,56.466596,65.099127,26.566680,-43.364953,0.421737
0.025000,93.195168,205.752002,58.110005,65.736367,25.489588,-43.083691,0.428069
0.025000,94.702071,206.445144,59.768680,66.347008,24.425660,-42.557139,0.434115
0.025000,96.218094,207.153345,61.441962,66.931298,23.371595,-42.162599,0.439863
0.025000,97.742744,207.875992,63.129201,67.489556,22.330323,-41.650876,0.445301
0.025000,99.275563,208.612439,64.829757,68.022209,21.306108,-40.968577,0.450414
0.025000,100.816117,209.362006,66.542987,68.529200,20.279669,-41.057555,0.455193
0.025000,102.364012,210.123981,68.268265,69.011142,19.277651,-40.080722,0.459625
0.025000,103.918875,210.897622,70.004963,69.467930,18.271522,-40.245176,0.463700
0.025000,105.480368,211.682157,71.752463,69.899975,17.281789,-39.589309,0.467407
0.025000,107.048177,212.476784,73.510148,70.307422,16.297878,-39.356433,0.470735
0.025000,108.622015,213.280678,75.277408,70.690405,15.319334,-39.141777,0.473674
0.025000,110.201617,214.092982,77.053635,71.049078,14.346935,-38.895966,0.476215
0.025000,111.786744,214.912818,78.838225,71.383569,13.379632,-38.692098,0.478348
