dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,36.953762,206.210492,0.000230,0.018393,0.735709,29.428370,0.026317
0.025000,36.953762,206.210492,0.001150,0.055178,1.471418,29.428370,0.026327
0.025000,36.953762,206.210492,0.003219,0.110356,2.207128,29.428370,0.026349
0.025000,36.953762,206.210492,0.006897,0.183927,2.942837,29.428370,0.026387
0.025000,36.953762,206.210492,0.012645,0.275891,3.678546,29.428370,0.026447
0.025000,36.953762,206.210492,0.020922,0.386247,4.414255,29.428370,0.026534
0.025000,36.953762,206.210492,0.032187,0.514996,5.149965,29.428370,0.026651
0.025000,36.953762,206.210492,0.046901,0.662138,5.885674,29.428370,0.026805
0.025000,36.953762,206.210492,0.065524,0.827673,6.621383,29.428370,0.027000
0.025000,36.953762,206.210492,0.088515,1.011600,7.357092,29.428370,0.027240
0.025000,36.953762,206.210492,0.116334,1.213920,8.092802,29.428370,0.027530
0.025000,36.953762,206.210492,0.149441,1.434633,8.828511,29.428370,0.027876
0.025000,36.965279,206.210817,0.188296,1.673739,9.564220,29.428370,0.028282
0.025000,37.010330,206.212102,0.233358,1.931237,10.299929,29.428370,0.028752
0.025000,37.062039,206.213603,0.285087,2.207128,11.035639,29.428370,0.029292
0.025000,37.120861,206.215345,0.343944,2.501411,11.771348,29.428370,0.029906
0.025000,37.187282,206.217355,0.410388,2.814088,12.507057,29.428370,0.030600
0.025000,37.261736,206.219663,0.484878,3.145157,13.242766,29.428370,0.031377
0.025000,37.344690,206.222302,0.567876,3.494619,13.978476,29.428370,0.032242
0.025000,37.436605,206.225311,0.659839,3.862474,14.714185,29.428370,0.033201
0.025000,37.537938,206.228730,0.761229,4.248721,15.449894,29.428370,0.034258
0.025000,37.649140,206.232606,0.872505,4.653361,16.185603,29.428370,0.035417
0.025000,37.770690,206.236990,0.994127,5.076394,16.921313,29.428370,0.036683
0.025000,37.903026,206.241938,1.126555,5.517819,17.657022,29.428370,0.038061
0.025000,38.046607,206.247513,1.270248,5.977638,18.392731,29.428370,0.039556
0.025000,38.201895,206.253784,1.425667,6.455849,19.128440,29.428370,0.041172
0.025000,38.369349,206.260828,1.593270,6.952452,19.864150,29.428370,0.042913
0.025000,38.549425,206.268730,1.773519,7.467449,20.599859,29.428370,0.044784
0.025000,38.742579,206.277580,1.966873,8.000838,21.335568,29.428370,0.046790
0.025000,38.949264,206.287480,2.173791,8.552620,22.071277,29.428370,0.048935
0.025000,39.169931,206.298540,2.394734,9.122795,22.806987,29.428370,0.051223
0.025000,39.405026,206.310880,2.630161,9.711362,23.542696,29.428370,0.053658
0.025000,39.655026,206.324632,2.880532,10.318322,24.278405,29.428370,0.056245
0.025000,39.920355,206.339936,3.146307,10.943675,25.014114,29.428370,0.058987
0.025000,40.201484,206.356948,3.427945,11.587421,25.749824,29.428370,0.061890
0.025000,40.498843,206.375832,3.725907,12.249559,26.485533,29.428370,0.064956
0.025000,40.812887,206.396770,4.040653,12.930090,27.221242,29.428370,0.068189
0.025000,41.144068,206.419955,4.372642,13.629014,27.956951,29.428370,0.071594
0.025000,41.492818,206.445593,4.722334,14.346330,28.692660,29.428370,0.075173
0.025000,41.859578,206.473909,5.090188,15.082039,29.428370,29.428370,0.078929
0.025000,42.244795,206.505141,5.476666,15.836141,30.164079,29.428370,0.082867
0.025000,42.648896,206.539544,5.882225,16.608636,30.899788,29.428370,0.086990
0.025000,43.072302,206.577388,6.307327,17.399524,31.635497,29.428370,0.091298
0.025000,43.515466,206.618967,6.752431,18.208804,32.371207,29.428370,0.095797
0.025000,43.978788,206.664586,7.217997,19.036477,33.106916,29.428370,0.100487
0.025000,44.462696,206.714571,7.704485,19.882542,33.842625,29.428370,0.105370
0.025000,44.967612,206.769270,8.212354,20.747001,34.578334,29.428370,0.110449
0.025000,45.493936,206.829047,8.742065,21.629852,35.314044,29.428370,0.115725
0.025000,46.042082,206.894288,9.294077,22.531096,36.049753,29.428370,0.121199
0.025000,46.612441,206.965398,9.868850,23.450732,36.785462,29.428370,0.126871
0.025000,47.205397,207.042804,10.466843,24.388761,37.521171,29.428370,0.132741
0.025000,47.821353,207.126956,11.088518,25.345183,38.256881,29.428370,0.138810
0.025000,48.460671,207.218319,11.734333,26.319998,38.992590,29.428370,0.145076
0.025000,49.123723,207.317384,12.404748,27.313206,39.728299,29.428370,0.151539
0.025000,49.810873,207.424664,13.100223,28.324806,40.464008,29.428370,0.158196
0.025000,50.522471,207.540688,13.821218,29.354799,41.199718,29.428370,0.165046
0.025000,51.258854,207.666010,14.568193,30.403184,41.935427,29.428370,0.172085
0.025000,52.020360,207.801202,15.341607,31.469963,42.671136,29.428370,0.179309
0.025000,52.807076,207.946814,16.141691,32.536741,42.671136,0.000000,0.186713
0.025000,53.618872,208.103365,16.968444,33.603520,42.671136,0.000000,0.194286
0.025000,54.455591,208.271374,17.821867,34.670298,42.671136,0.000000,0.202020
0.025000,55.317077,208.451367,18.701959,35.737076,42.671136,0.000000,0.209904
0.025000,56.203168,208.643868,19.608721,36.803855,42.671136,0.000000,0.217927
0.025000,57.113687,208.849402,20.542152,37.870633,42.671136,-0.000000,0.226077
0.025000,58.048454,209.068489,21.502252,38.937412,42.671136,0.000000,0.234344
0.025000,59.007278,209.301646,22.489022,40.004190,42.671136,-0.000000,0.242714
0.025000,59.989968,209.549383,23.502462,41.070969,42.671136,0.000000,0.251174
0.025000,60.996320,209.812204,24.542571,42.137747,42.671136,-0.000000,0.259711
0.025000,62.026129,210.090598,25.609349,43.204525,42.671136,0.000000,0.268312
0.025000,63.079181,210.385045,26.702797,44.271304,42.671136,0.000000,0.276960
0.025000,64.155264,210.696012,27.822914,45.338082,42.671136,-0.000000,0.285643
0.025000,65.254159,211.023948,28.969701,46.404861,42.671136,0.000000,0.294344
0.025000,66.375646,211.369283,30.143157,47.471639,42.671136,-0.000000,0.303048
0.025000,67.519506,211.732431,31.343283,48.538417,42.671136,0.000000,0.311739
0.025000,68.685301,212.113709,32.569848,49.586803,41.935427,-29.428370,0.320400
0.025000,69.872383,212.513330,33.822393,50.616796,41.199718,-29.428370,0.329010
0.025000,71.080108,212.931466,35.100458,51.628396,40.464008,-29.428370,0.337552
0.025000,72.307848,213.368250,36.403583,52.621604,39.728299,-29.428370,0.346004
0.025000,73.554982,213.823772,37.731308,53.596418,38.992590,-29.428370,0.354350
0.025000,74.820905,214.298079,39.083174,54.552840,38.256881,-29.428370,0.362570
0.025000,76.105029,214.791176,40.458720,55.490870,37.521171,-29.428370,0.370647
0.025000,77.406779,215.303023,41.857488,56.410506,36.785462,-29.428370,0.378563
0.025000,78.725599,215.833537,43.279016,57.311750,36.049753,-29.428370,0.386299
0.025000,80.060953,216.382592,44.722845,58.194601,35.314044,-29.428370,0.393841
0.025000,81.412326,216.950018,46.188516,59.059060,34.578334,-29.428370,0.401171
0.025000,82.779223,217.535603,47.675568,59.905125,33.842625,-29.428370,0.408274
0.025000,84.161171,218.139089,49.183542,60.732798,33.106916,-29.428370,0.415134
0.025000,85.557721,218.760181,50.711978,61.542078,32.371207,-29.428370,0.421737
0.025000,86.968448,219.398538,52.260416,62.332966,31.635497,-29.428370,0.428069
0.025000,88.392952,220.053782,53.828397,63.105460,30.899788,-29.428370,0.434115
0.025000,89.830856,220.725493,55.415459,63.859562,30.164079,-29.428370,0.439863
0.025000,91.281807,221.413211,57.021145,64.595272,29.428370,-29.428370,0.445301
0.025000,92.745484,222.116441,58.644993,65.312588,28.692660,-29.428370,0.450414
0.025000,94.221580,222.834648,60.286544,66.011512,27.956951,-29.428370,0.455193
0.025000,95.709826,223.567262,61.945339,66.692043,27.221242,-29.428370,0.459625
0.025000,97.209966,224.313677,63.620917,67.354181,26.485533,-29.428370,0.463700
0.025000,98.721777,225.073252,65.312818,67.997927,25.749824,-29.428370,0.467407
0.025000,100.245057,225.845313,67.020583,68.623280,25.014114,-29.428370,0.470735
0.025000,101.779628,226.629151,68.743752,69.230240,24.278405,-29.428370,0.473674
0.025000,103.325335,227.424026,70.481865,69.818807,23.542696,-29.428370,0.476215
0.025000,104.882045,228.229166,72.234463,70.388982,22.806987,-29.428370,0.478348
0.025000,106.449648,229.043768,74.001084,70.940764,22.071277,-29.428370,0.480063
0.025000,108.028052,229.866995,75.781271,71.474153,21.335568,-29.428370,0.481351
0.025000,109.617187,230.697985,77.574562,71.989149,20.599859,-29.428370,0.482203
0.025000,111.217000,231.535842,79.380498,72.485753,19.864150,-29.428370,0.482610
0.025000,112.827456,232.379641,81.198620,72.963964,19.128440,-29.428370,0.482562
0.025000,114.448535,233.228430,83.028467,73.423782,18.392731,-29.428370,0.482050
0.025000,116.080233,234.081225,84.869579,73.865208,17.657022,-29.428370,0.481066
0.025000,117.722556,234.937016,86.721497,74.288241,16.921313,-29.428370,0.479600
0.025000,119.375523,235.794760,88.583761,74.692881,16.185603,-29.428370,0.477644
0.025000,121.039163,236.653390,90.455911,75.079128,15.449894,-29.428370,0.475187
