dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,36.559048,221.205298,0.000230,0.018393,0.735709,29.428370,0.026317
0.025000,36.558904,221.205294,0.000374,0.005767,-0.505021,-49.629226,0.026327
0.025000,36.558579,221.205285,0.000698,0.012976,0.288355,31.735056,0.026349
0.025000,36.558003,221.205270,0.001275,0.023068,0.403684,4.613143,0.026387
0.025000,36.557102,221.205246,0.002176,0.036043,0.518992,4.612319,0.026447
0.025000,36.555805,221.205212,0.003474,0.051900,0.634266,4.610969,0.026534
0.025000,36.554040,221.205165,0.005240,0.070637,0.749490,4.608960,0.026651
0.025000,36.551734,221.205103,0.007546,0.092253,0.864644,4.606157,0.026805
0.025000,36.548817,221.205025,0.010465,0.116746,0.979704,4.602425,0.027000
0.025000,36.545215,221.204927,0.014067,0.144112,1.094645,4.597625,0.027240
0.025000,36.540858,221.204808,0.018426,0.174348,1.209435,4.591614,0.027530
0.025000,36.535674,221.204664,0.023612,0.207449,1.324042,4.584247,0.027876
0.025000,36.541108,221.204818,0.029048,0.217438,0.399565,-36.979048,0.028282
0.025000,36.579104,221.205902,0.067060,1.520479,52.121633,2068.882687,0.028752
0.025000,36.622717,221.207168,0.110692,1.745251,8.990906,-1725.229070,0.029292
0.025000,36.672332,221.208637,0.160328,1.985454,9.608131,24.688998,0.029906
0.025000,36.728358,221.210333,0.216379,2.242062,10.264303,26.246888,0.030600
0.025000,36.791162,221.212280,0.279214,2.513375,10.852523,23.528807,0.031377
0.025000,36.861140,221.214506,0.349228,2.800550,11.487006,25.379313,0.032242
0.025000,36.938683,221.217045,0.426812,3.103362,12.112452,25.017834,0.033201
0.025000,37.024176,221.219929,0.512353,3.421657,12.731816,24.774562,0.034258
0.025000,37.118001,221.223199,0.606235,3.755292,13.345408,24.543703,0.035417
0.025000,37.220567,221.226898,0.708868,4.105291,13.999969,26.182433,0.036683
0.025000,37.332242,221.231074,0.820621,4.470144,14.594118,23.765945,0.038061
0.025000,37.453420,221.235779,0.941891,4.850775,15.225226,25.244324,0.039556
0.025000,37.584493,221.241073,1.073070,5.247169,15.855777,25.222035,0.041172
0.025000,37.725850,221.247019,1.214553,5.659312,16.485712,25.197406,0.042913
0.025000,37.877884,221.253690,1.366732,6.087187,17.114989,25.171098,0.044784
0.025000,38.040982,221.261163,1.530002,6.530777,17.743586,25.143881,0.046790
0.025000,38.215533,221.269524,1.704753,6.990064,18.371502,25.116641,0.048935
0.025000,38.401925,221.278866,1.891379,7.465033,18.998762,25.090386,0.051223
0.025000,38.600544,221.289291,2.090271,7.955669,19.625418,25.066250,0.053658
0.025000,38.811797,221.300912,2.301844,8.462919,20.290030,26.584468,0.056245
0.025000,39.036056,221.313847,2.526476,8.985270,20.894009,24.159144,0.058987
0.025000,39.273729,221.328229,2.764583,9.524316,21.561855,26.713871,0.061890
0.025000,39.525192,221.344199,3.016553,10.078767,22.178033,24.647095,0.064956
0.025000,39.790843,221.361911,3.282794,10.649639,22.834874,26.273637,0.068189
0.025000,40.071082,221.381529,3.563718,11.236994,23.494226,26.374079,0.071594
0.025000,40.366292,221.403232,3.859725,11.840260,24.130624,25.455927,0.075173
